Constructor,Points,podium,wins
Red Bull,759,28,17
Ferrari,554,20,4
Mercedes,515,17,1
Alpine,173,0,0
McLaren,159,1,0
Alfa Romeo,55,0,0
Aston Martin,55,0,0
Haas,37,0,0
AlphaTauri,35,0,0
Williams,8,0,0
