Constructor,Points,podium,wins
Mercedes,613.5,28,9
Red Bull,585.5,23,11
Ferrari,323.5,5,0
McLaren,275,5,1
Alpine,155,2,1
AlphaTauri,142,1,0
Aston Martin,77,1,0
Williams,23,1,0
Alpha Romeo,13,0,0
Haas,0,0,0
